total,pde,boundary,initial
7.972303777933120728e-02,2.635346166789531708e-02,7.825054926797747612e-04,5.258706957101821899e-02
9.721719473600387573e-02,2.819903567433357239e-02,9.525911882519721985e-04,6.806556880474090576e-02
9.648509323596954346e-02,2.496481686830520630e-02,1.596949645318090916e-03,6.992332637310028076e-02
9.381109476089477539e-02,3.627871349453926086e-02,2.883686451241374016e-03,5.464869365096092224e-02
9.606638550758361816e-02,3.937247768044471741e-02,3.258003387600183487e-03,5.343590304255485535e-02
1.079644262790679932e-01,3.045571967959403992e-02,2.379296580329537392e-03,7.512941211462020874e-02
1.317999362945556641e-01,3.639284521341323853e-02,1.195419812574982643e-03,9.421167522668838501e-02
1.289346218109130859e-01,3.305345401167869568e-02,3.689996665343642235e-04,9.551216661930084229e-02
1.198730915784835815e-01,4.105114564299583435e-02,4.416285955812782049e-04,7.838031649589538574e-02
1.202951669692993164e-01,4.273668676614761353e-02,9.948307415470480919e-04,7.656364887952804565e-02
1.181218922138214111e-01,5.193234980106353760e-02,6.881983135826885700e-04,6.550134718418121338e-02
1.265132576227188110e-01,5.844792723655700684e-02,5.680525209754705429e-04,6.749728322029113770e-02
1.274393200874328613e-01,5.851689353585243225e-02,2.393136819591745734e-04,6.868311762809753418e-02
1.310548633337020874e-01,5.353983119130134583e-02,2.889402676373720169e-04,7.722608745098114014e-02
1.255130022764205933e-01,4.729399085044860840e-02,9.249252616427838802e-04,7.729408890008926392e-02
1.066268756985664368e-01,4.717823117971420288e-02,1.289567328058183193e-03,5.815907567739486694e-02
9.753294289112091064e-02,4.629672318696975708e-02,9.123810450546443462e-04,5.032384395599365234e-02
1.090503782033920288e-01,4.636206477880477905e-02,7.150779711082577705e-04,6.197324022650718689e-02
8.700376003980636597e-02,4.375174641609191895e-02,5.472098710015416145e-04,4.270480200648307800e-02
8.548194169998168945e-02,3.679037466645240784e-02,4.050536663271486759e-04,4.828651621937751770e-02
8.736246824264526367e-02,3.331663087010383606e-02,6.798977265134453773e-04,5.336594209074974060e-02
8.541905879974365234e-02,2.527811005711555481e-02,1.015151850879192352e-03,5.912579223513603210e-02
8.527944236993789673e-02,2.987973578274250031e-02,1.012874068692326546e-03,5.438683182001113892e-02
7.993804663419723511e-02,2.610082179307937622e-02,1.061860006302595139e-03,5.277536436915397644e-02
9.239222109317779541e-02,3.226964175701141357e-02,5.079224356450140476e-04,5.961465463042259216e-02
8.593341708183288574e-02,2.997170202434062958e-02,2.763523953035473824e-04,5.568536370992660522e-02
8.508601784706115723e-02,3.668423742055892944e-02,1.884122175397351384e-04,4.821337014436721802e-02
1.024297103285789490e-01,5.510585755109786987e-02,4.891302669420838356e-04,4.683472216129302979e-02
7.724939286708831787e-02,2.982191741466522217e-02,6.845523603260517120e-04,4.674292355775833130e-02
9.032029658555984497e-02,3.215852752327919006e-02,2.915466029662638903e-04,5.787022411823272705e-02
9.829922765493392944e-02,3.209528326988220215e-02,2.015859819948673248e-03,6.418808549642562866e-02
8.657351881265640259e-02,2.580347657203674316e-02,3.078202717006206512e-03,5.769183859229087830e-02
2.274025231599807739e-01,1.763343214988708496e-01,3.427871968597173691e-03,4.764032363891601562e-02
1.048792302608489990e-01,3.643711656332015991e-02,1.590100815519690514e-03,6.685201823711395264e-02
1.883531808853149414e-01,7.425515353679656982e-02,6.746666040271520615e-04,1.134233623743057251e-01
1.821808069944381714e-01,5.649105459451675415e-02,1.113121863454580307e-03,1.245766282081604004e-01
2.845073640346527100e-01,1.029015928506851196e-01,1.987998839467763901e-03,1.796177625656127930e-01
2.501065433025360107e-01,8.789572864770889282e-02,4.739571362733840942e-03,1.574712395668029785e-01
3.135813474655151367e-01,7.119071483612060547e-02,8.859125897288322449e-03,2.335315048694610596e-01
2.611732482910156250e-01,6.497888267040252686e-02,1.195647194981575012e-02,1.842378973960876465e-01
3.055346906185150146e-01,7.181294262409210205e-02,1.368270441889762878e-02,2.200390398502349854e-01
3.148391544818878174e-01,8.694055676460266113e-02,1.396666746586561203e-02,2.139319330453872681e-01
3.818468749523162842e-01,9.153223037719726562e-02,1.204714924097061157e-02,2.782675027847290039e-01
2.992739677429199219e-01,8.942928910255432129e-02,9.308150038123130798e-03,2.005365192890167236e-01
3.174819946289062500e-01,1.044086739420890808e-01,6.819253321737051010e-03,2.062540501356124878e-01
3.611692786216735840e-01,1.245574802160263062e-01,4.372238181531429291e-03,2.322395592927932739e-01
3.256223797798156738e-01,1.033862680196762085e-01,2.795843640342354774e-03,2.194402664899826050e-01
3.319773077964782715e-01,1.059734970331192017e-01,2.570094075053930283e-03,2.234337329864501953e-01
3.351702690124511719e-01,1.098928377032279968e-01,2.416095463559031487e-03,2.228613495826721191e-01
3.011218607425689697e-01,9.119164943695068359e-02,2.799142850562930107e-03,2.071310579776763916e-01
3.010411560535430908e-01,9.239704906940460205e-02,4.431746900081634521e-03,2.042123526334762573e-01
2.990621924400329590e-01,7.410192489624023438e-02,5.518360063433647156e-03,2.194419205188751221e-01
2.637513279914855957e-01,6.217443197965621948e-02,5.957957357168197632e-03,1.956189274787902832e-01
2.586954534053802490e-01,5.884732678532600403e-02,4.590556956827640533e-03,1.952575743198394775e-01
2.545026838779449463e-01,5.845779553055763245e-02,2.843613736331462860e-03,1.932012736797332764e-01
2.116226553916931152e-01,5.098048970103263855e-02,2.166907535865902901e-03,1.584752500057220459e-01
2.333901226520538330e-01,4.712013900279998779e-02,2.865725196897983551e-03,1.834042668342590332e-01
2.203316837549209595e-01,4.674635827541351318e-02,4.553183913230895996e-03,1.690321415662765503e-01
1.920240968465805054e-01,4.699462652206420898e-02,7.306892424821853638e-03,1.377225816249847412e-01
2.293384224176406860e-01,5.979704856872558594e-02,9.981576353311538696e-03,1.595598012208938599e-01
2.163423299789428711e-01,7.083751261234283447e-02,1.093353889882564545e-02,1.345712840557098389e-01
1.879233568906784058e-01,6.565943360328674316e-02,1.051903236657381058e-02,1.117448881268501282e-01
1.852750629186630249e-01,7.822011411190032959e-02,9.792934171855449677e-03,9.726201742887496948e-02
1.930062323808670044e-01,8.021955937147140503e-02,7.082672789692878723e-03,1.057040020823478699e-01
1.778066009283065796e-01,6.874743103981018066e-02,4.211010411381721497e-03,1.048481613397598267e-01
1.871274560689926147e-01,7.762584835290908813e-02,2.474317792803049088e-03,1.070272922515869141e-01
1.822300553321838379e-01,8.498720079660415649e-02,1.030160346999764442e-03,9.621268510818481445e-02
1.576747894287109375e-01,7.198327779769897461e-02,5.934948567301034927e-04,8.509802073240280151e-02
1.767126917839050293e-01,6.268252432346343994e-02,7.812656695023179054e-04,1.132488921284675598e-01
1.614556312561035156e-01,6.153089925646781921e-02,6.580955814570188522e-04,9.926664084196090698e-02
1.415464282035827637e-01,5.517812073230743408e-02,9.778877720236778259e-04,8.539042621850967407e-02
1.430962979793548584e-01,4.950069636106491089e-02,1.290389103814959526e-03,9.230520576238632202e-02
1.455443799495697021e-01,6.167253479361534119e-02,1.101194182410836220e-03,8.277064561843872070e-02
1.515388041734695435e-01,5.299202352762222290e-02,2.798577770590782166e-03,9.574820101261138916e-02
1.524817049503326416e-01,5.573305860161781311e-02,3.998268395662307739e-03,9.275037050247192383e-02
1.497456133365631104e-01,6.121820583939552307e-02,5.110873840749263763e-03,8.341653645038604736e-02
1.633311212062835693e-01,6.163918599486351013e-02,4.965742118656635284e-03,9.672619402408599854e-02
1.407134830951690674e-01,6.029517576098442078e-02,4.423331469297409058e-03,7.599496841430664062e-02
1.393293589353561401e-01,5.561541020870208740e-02,1.873673172667622566e-03,8.184027671813964844e-02
1.483295708894729614e-01,6.055244803428649902e-02,1.813655486330389977e-03,8.596347272396087646e-02
1.544977277517318726e-01,5.903574824333190918e-02,2.202492207288742065e-03,9.325949102640151978e-02
1.428124606609344482e-01,6.154115870594978333e-02,2.290390897542238235e-03,7.898090779781341553e-02
1.459111273288726807e-01,6.918527185916900635e-02,2.000530017539858818e-03,7.472531497478485107e-02
1.374749839305877686e-01,6.943064928054809570e-02,2.316963858902454376e-03,6.572736799716949463e-02
1.307501494884490967e-01,7.153732329607009888e-02,1.808082917705178261e-03,5.740474537014961243e-02
1.539746522903442383e-01,7.940088212490081787e-02,2.039217855781316757e-03,7.253454625606536865e-02
1.376079320907592773e-01,7.453198730945587158e-02,1.449971576221287251e-03,6.162596493959426880e-02
1.419247239828109741e-01,6.956781446933746338e-02,1.054841326549649239e-03,7.130207121372222900e-02
1.354995369911193848e-01,5.780197679996490479e-02,1.092835445888340473e-03,7.660473138093948364e-02
1.321730017662048340e-01,5.638543516397476196e-02,1.315178349614143372e-03,7.447238266468048096e-02
1.413848102092742920e-01,6.126507371664047241e-02,1.389451674185693264e-03,7.873028516769409180e-02
1.286185085773468018e-01,5.741605535149574280e-02,1.031910534948110580e-03,7.017053663730621338e-02
1.347193419933319092e-01,5.149633437395095825e-02,1.047418452799320221e-03,8.217559754848480225e-02
